# PcbXY Version 1.0
# Date: Sat 04 Apr 2015 06:08:16 PM GMT UTC
# Author: Peter Monta
# Title: GNSS Firehose - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
J5,"SMA_END_LAUNCH","unknown",99.90,690.00,90,top
J4,"SMA_END_LAUNCH","unknown",99.90,1320.00,90,top
J3,"SMA_END_LAUNCH","unknown",99.90,1950.00,90,top
J1,"SMA_END_LAUNCH","unknown",99.90,3210.00,90,top
J2,"SMA_END_LAUNCH","unknown",99.90,2580.00,90,top
C216,"0805.fp","10_uF",2621.00,853.00,180,bottom
R100,"0402.fp","33",2431.74,1115.00,0,top
R101,"0402.fp","33",2431.74,1188.00,0,top
R102,"0402.fp","33",2431.74,1224.00,0,top
R103,"0402.fp","33",2431.74,1260.00,0,top
R104,"0402.fp","33",2433.74,1302.00,0,top
R105,"0402.fp","33",2431.48,1152.00,0,top
R112,"0402.fp","NONE",2432.74,1111.00,180,bottom
R113,"0402.fp","1k",2345.74,1111.00,180,bottom
R114,"0402.fp","NONE",2432.74,1186.00,180,bottom
R115,"0402.fp","NONE",2434.74,1222.00,180,bottom
R116,"0402.fp","10k",2434.74,1257.00,180,bottom
R117,"0402.fp","10k",2431.74,1299.00,180,bottom
R118,"0402.fp","1k",2342.74,1188.00,180,bottom
R119,"0402.fp","1k",2342.74,1228.00,180,bottom
R120,"0402.fp","NONE",2342.74,1262.00,180,bottom
R121,"0402.fp","NONE",2346.00,1301.00,180,bottom
R122,"0402.fp","NONE",2433.74,1149.00,180,bottom
R123,"0402.fp","1k",2343.74,1152.00,180,bottom
C65,"0402.fp","0.1_uF",1670.00,854.26,270,bottom
C177,"0402.fp","33_pF",2911.26,785.00,180,top
C176,"0402.fp","33_pF",2838.00,784.00,0,top
U18,"QFN48_EP_MICREL.fp","unknown",2747.00,1206.00,180,top
R50,"0402.fp","330",4484.26,1875.00,0,top
R49,"0402.fp","330",4485.00,1640.00,0,top
R79,"0402.fp","10k",3029.26,2874.00,0,top
R138,"0402.fp","1k",2908.74,2874.00,180,top
R137,"0402.fp","1k",2909.00,2832.00,180,top
R80,"0402.fp","10k",3031.00,2832.00,0,top
R75,"0402.fp","330",4485.74,2415.00,0,top
C213,"1210.fp","NONE",3326.00,2918.00,0,top
TP25,"TP_SMT.fp","unknown",2701.00,3109.00,0,top
R73,"0402.fp","10k",2649.00,2996.00,90,top
R72,"0402.fp","10k",2582.00,2978.00,0,top
C196,"1210.fp","47_uF",2343.00,3307.00,270,top
L10,"NRS5020.fp","0.47_uH",2541.00,3180.00,180,top
TP24,"TP_SMT.fp","unknown",2955.00,3018.00,0,top
